blank,blank,254,254,254,#000000,.,0
3713,Salmon Very Light,255,226,226,#FFE2E2,:,3a
761,Salmon Light,255,201,201,#FFC9C9,;,3b
760,Salmon,245,173,173,#F5ADAD,<,3c
3712,Salmon Medium,241,135,135,#F18787,=,3d
3328,Salmon Dark,227,109,109,#E36D6D,>,3e
347,Salmon Very Dark,191,45,45,#BF2D2D,?,3f
353,Peach,254,215,204,#FED7CC,@,40
352,Coral Light,253,156,151,#FD9C97,A,41
351,Coral,233,106,103,#E96A67,B,42
350,Coral Medium,224,72,72,#E04848,C,43
349,Coral Dark,210,16,53,#D21035,D,44
817,Coral Red Very Dark,187,5,31,#BB051F,E,45
3708,Melon Light,255,203,213,#FFCBD5,F,46
3706,Melon Medium,255,173,188,#FFADBC,G,47
3705,Melon Dark,255,121,146,#FF7992,H,48
3801,Melon Very Dark,231,73,103,#E74967,I,49
666,Bright Red,227,29,66,#E31D42,J,4a
321,Red,199,43,59,#C72B3B,K,4b
304,Red Medium,183,31,51,#B71F33,L,4c
498,Red Dark,167,19,43,#A7132B,M,4d
816,Garnet,151,11,35,#970B23,N,4e
815,Garnet Medium,135,7,31,#87071F,O,4f
814,Garnet Dark,123,0,27,#7B001B,P,50
894,Carnation Very Light,255,178,187,#FFB2BB,Q,51
893,Carnation Light,252,144,162,#FC90A2,R,52
892,Carnation Medium,255,121,140,#FF798C,S,53
891,Carnation Dark,255,87,115,#FF5773,T,54
818,Baby Pink,255,223,217,#FFDFD9,U,55
957,Geranium Pale,253,181,181,#FDB5B5,V,56
956,Geranium,255,145,145,#FF9191,W,57
309,Rose Dark,86,74,74,#BA4A4A,X,58
963,Dusty Rose Ultra Very Light,255,215,215,#FFD7D7,Y,59
3716,Dusty Rose Medium Very Light,255,189,189,#FFBDBD,Z,5a
962,Dusty Rose Medium,230,138,138,#E68A8A,[,5b
961,Dusty Rose Dark,207,115,115,#CF7373,\,5c
3833,Raspberry Light,234,134,153,#EA8699,],5d
3832,Raspberry Medium,219,85,110,#DB556E,^,5e
3831,Raspberry Dark,179,47,72,#B32F48,_,5f
777,Raspberry Very Dark,145,53,70,#913546,`,60
819,Baby Pink Light,255,238,235,#FFEEEB,a,61
3326,Rose Light,251,173,180,#FBADB4,b,62
776,Pink Medium,252,176,185,#FCB0B9,c,63
899,Rose Medium,242,118,136,#F27688,d,64
335,Rose,238,84,110,#EE546E,e,65
326,Rose Very Dark,179,59,75,#B33B4B,f,66
151,Dusty Rose Very Light,240,206,212,#F0CED4,g,67
3354,Dusty Rose Light,228,166,172,#E4A6AC,h,68
3733,Dusty Rose,232,135,155,#E8879B,i,69
3731,Dusty Rose Very Dark,218,103,131,#DA6783,j,6a
3350,Dusty Rose Ultra Dark,188,67,101,#BC4365,k,6b
150,Dusty Rose Ultra Very Dark,171,2,73,#AB0249,l,6c
3689,Mauve Light,251,191,194,#FBBFC2,m,6d
3688,Mauve Medium,231,169,172,#E7A9AC,n,6e
3687,Mauve,201,107,112,#C96B70,o,6f
3803,Mauve Dark,171,51,87,#AB3357,p,70
3685,Mauve Very Dark,136,21,49,#881531,q,71
605,Cranberry Very Light,255,192,205,#FFC0CD,r,72
604,Cranberry Light,255,176,190,#FFB0BE,s,73
603,Cranberry,255,164,190,#FFA4BE,t,74
602,Cranberry Medium,226,72,116,#E24874,u,75
601,Cranberry Dark,209,40,106,#D1286A,v,76
600,Cranberry Very Dark,205,47,99,#CD2F63,w,77
3806,Cyclamen Pink Light,255,140,174,#FF8CAE,x,78
3805,Cyclamen Pink,243,71,139,#F3478B,y,79
3804,Cyclamen Pink Dark,224,40,118,#E02876,z,7a
3609,Plum Ultra Light,244,174,213,#F4AED7,{,7b
3608,Plum Very Light,234,156,196,#EA9CC4,|,7c
3607,Plum Light,197,73,137,#C54989,},7d
718,Plum,156,36,98,#9C2462,~,7e
917,Plum Medium,155,19,89,#9B1359,¡,c2 a1
915,Plum Dark,130,0,67,#820043,¢,c2 a2
225,Shell Pink Ultra Very Light,255,223,213,#FFDFD7,£,c2 a3
224,Shell Pink Very Light,235,183,175,#EBB7AF,¤,c2 a4
152,Shell Pink Medium Light,226,160,153,#E2A099,¥,c2 a5
223,Shell Pink Light,204,132,124,#CC847C,¦,c2 a6
3722,Shell Pink Medium,188,108,100,#BC6C64,§,c2 a7
3721,Shell Pink Dark,161,75,81,#A14B51,¨,c2 a8
221,Shell Pink Very Dark,136,62,67,#883E43,©,c2 a9
778,Antique Mauve Very Light,223,179,187,#DFB3BB,ª,c2 aa
3727,Antique Mauve Light,219,169,178,#DBA9B2,«,c2 ab
316,Antique Mauve Medium,183,115,127,#B7737F,¬,c2 ac
3726,Antique Mauve Dark,155,91,102,#9B5B66,­,c2 ad
315,Antique Mauve Medium Dark,129,73,82,#814952,®,c2 ae
3802,Antique Mauve Very Darkv,113,65,73,#714149,¯,c2 af
902,Garnet Very Dark,130,38,55,#822637,°,c2 b0
3743,Antique Violet Very Light,215,203,211,#D7CBD3,±,c2 b1
3042,Antique Violet Light,183,157,167,#B79DA7,²,c2 b2
3041,Antique Violet Medium,149,111,124,#956F7C,³,c2 b3
3740,Antique Violet Dark,120,87,98,#785762,´,c2 b4
3836,Grape Light,186,145,170,#BA91AA,µ,c2 b5
3835,Grape Medium,148,96,131,#946083,¶,c2 b6
3834,Grape Dark,114,55,93,#72375D,·,c2 b7
154,Grape Very Dark,87,36,51,#572433,¸,c2 b8
211,Lavender Light,227,203,227,#E3CBE3,¹,c2 b9
210,Lavender Medium,195,159,195,#D29FC3,º,c2 ba
209,Lavender Dark,163,123,167,#A37BA7,»,c2 bb
208,Lavender Very Dark,131,91,139,#835B8B,¼,c2 bc
3837,Lavender Ultra Dark,108,58,110,#6C3A6E,½,c2 bd
327,Violet Dark,99,54,102,#633666,¾,c2 be
153,Violet Very Light,230,204,217,#E6CCD9,¿,c2 bf
554,Violet Light,219,179,203,#DBB3CB,À,c3 80
